Laju Pertumbuhan (r): 0.0103
Tahun,Populasi
0,237.600.000
1,240.048.562
2,242.522.358
3,245.021.647
4,247.546.692
5,250.097.759
6,252.675.115
7,255.279.032
8,257.909.784
9,260.567.646
10,263.252.899
11,265.965.825
12,268.706.708
13,271.475.837
14,274.273.503
15,277.100.000
