Tahun,Populasi
0,237500000.0
1,239954265.64
2,242433893.06
3,244939144.32
4,247470284.22
5,250027580.29
6,252611302.82
7,255221724.89
8,257859122.41
9,260523774.14
10,263215961.71
11,265935969.67
12,268684085.52
13,271460599.71
14,274265805.71
15,277100000.0
